VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
4032, 1047, -0.16946,  15.59311,  0.54825,  0.4456,  0.5158, -0.17728, -0.97316, -0.14675
4033, 1038, -0.19795,  15.56224,  0.64586,  0.4572,  0.5161, -0.14169, -0.89692, -0.41889
4034, 1049, -0.28406,  15.57159,  0.63331,  0.4608,  0.5245, -0.00395, -0.9286, -0.37106
4035, 1028, -0.29575,  15.5349,  0.71683,  0.4775,  0.5212,  0.00727, -0.85329, -0.52139
4036, 1049, -0.28406,  15.57159,  0.63331,  0.4608,  0.5245, -0.00395, -0.9286, -0.37106
4037, 1038, -0.19795,  15.56224,  0.64586,  0.4572,  0.5161, -0.14169, -0.89692, -0.41889
4038, 1047, -0.16946,  15.59311,  0.54825,  0.4456,  0.5158, -0.17728, -0.97316, -0.14675
4039, 1050, -0.26533,  15.60598,  0.53802,  0.4473,  0.5238, -0.00467, -0.99371, -0.1119
4040, 1048, -0.25372,  15.59189,  0.40285,  0.4328,  0.5243, -0.03816, -0.98647,  0.15946
4041, 1049, -0.28406,  15.57159,  0.63331,  0.4608,  0.5245, -0.00395, -0.9286, -0.37106
4042, 1050, -0.26533,  15.60598,  0.53802,  0.4473,  0.5238, -0.00467, -0.99371, -0.1119
4043, 1047, -0.16946,  15.59311,  0.54825,  0.4456,  0.5158, -0.17728, -0.97316, -0.14675
4044, 1049, -0.28406,  15.57159,  0.63331,  0.4608,  0.5245, -0.00395, -0.9286, -0.37106
4045, 1028, -0.29575,  15.5349,  0.71683,  0.4775,  0.5212,  0.00727, -0.85329, -0.52139
4046, 1024, -0.32721,  15.53374,  0.71475,  0.4806,  0.5242,  0.09757, -0.85151, -0.51518
4047, 1048, -0.25372,  15.59189,  0.40285,  0.4328,  0.5243, -0.03816, -0.98647,  0.15946
4048, 1050, -0.26533,  15.60598,  0.53802,  0.4473,  0.5238, -0.00467, -0.99371, -0.1119
4049, 1051, -0.32526,  15.59807,  0.5366,  0.4482,  0.5287,  0.09241, -0.99012, -0.10542
4050, 1051, -0.32526,  15.59807,  0.5366,  0.4482,  0.5287,  0.09241, -0.99012, -0.10542
4051, 1050, -0.26533,  15.60598,  0.53802,  0.4473,  0.5238, -0.00467, -0.99371, -0.1119
4052, 1049, -0.28406,  15.57159,  0.63331,  0.4608,  0.5245, -0.00395, -0.9286, -0.37106
4053, 1051, -0.32526,  15.59807,  0.5366,  0.4482,  0.5287,  0.09241, -0.99012, -0.10542
4054, 1052, -0.31841,  15.58757,  0.39943,  0.4335,  0.5303,  0.08244, -0.98825,  0.12874
4055, 1048, -0.25372,  15.59189,  0.40285,  0.4328,  0.5243, -0.03816, -0.98647,  0.15946
4056, 1053, -0.38289,  15.58039,  0.39728,  0.4328,  0.5243,  0.20566, -0.96496,  0.16296
4057, 1052, -0.31841,  15.58757,  0.39943,  0.4335,  0.5303,  0.08244, -0.98825,  0.12874
4058, 1051, -0.32526,  15.59807,  0.5366,  0.4482,  0.5287,  0.09241, -0.99012, -0.10542
4059, 1024, -0.32721,  15.53374,  0.71475,  0.4806,  0.5242,  0.09757, -0.85151, -0.51518
4060, 1054, -0.32694,  15.57143,  0.63065,  0.4629,  0.5287,  0.09721, -0.9326, -0.34757
4061, 1049, -0.28406,  15.57159,  0.63331,  0.4608,  0.5245, -0.00395, -0.9286, -0.37106
4062, 1049, -0.28406,  15.57159,  0.63331,  0.4608,  0.5245, -0.00395, -0.9286, -0.37106
4063, 1054, -0.32694,  15.57143,  0.63065,  0.4629,  0.5287,  0.09721, -0.9326, -0.34757
4064, 1051, -0.32526,  15.59807,  0.5366,  0.4482,  0.5287,  0.09241, -0.99012, -0.10542
4065, 1055, -0.36837,  15.56406,  0.63017,  0.4608,  0.5245,  0.20439, -0.91078, -0.35875
4066, 1054, -0.32694,  15.57143,  0.63065,  0.4629,  0.5287,  0.09721, -0.9326, -0.34757
4067, 1024, -0.32721,  15.53374,  0.71475,  0.4806,  0.5242,  0.09757, -0.85151, -0.51518
4068, 1051, -0.32526,  15.59807,  0.5366,  0.4482,  0.5287,  0.09241, -0.99012, -0.10542
4069, 1054, -0.32694,  15.57143,  0.63065,  0.4629,  0.5287,  0.09721, -0.9326, -0.34757
4070, 1055, -0.36837,  15.56406,  0.63017,  0.4608,  0.5245,  0.20439, -0.91078, -0.35875
4071, 1024, -0.32721,  15.53374,  0.71475,  0.4806,  0.5242,  0.09757, -0.85151, -0.51518
4072, 1020, -0.35845,  15.52932,  0.71412,  0.4775,  0.5212,  0.18763, -0.83709, -0.51387
4073, 1055, -0.36837,  15.56406,  0.63017,  0.4608,  0.5245,  0.20439, -0.91078, -0.35875
4074, 1051, -0.32526,  15.59807,  0.5366,  0.4482,  0.5287,  0.09241, -0.99012, -0.10542
4075, 1056, -0.38564,  15.59527,  0.53283,  0.4473,  0.5238,  0.20307, -0.97383, -0.10201
4076, 1053, -0.38289,  15.58039,  0.39728,  0.4328,  0.5243,  0.20566, -0.96496,  0.16296
4077, 1055, -0.36837,  15.56406,  0.63017,  0.4608,  0.5245,  0.20439, -0.91078, -0.35875
4078, 1056, -0.38564,  15.59527,  0.53283,  0.4473,  0.5238,  0.20307, -0.97383, -0.10201
4079, 1051, -0.32526,  15.59807,  0.5366,  0.4482,  0.5287,  0.09241, -0.99012, -0.10542
4080, 1057, -0.50104,  15.54767,  0.38972,  0.4308,  0.5167,  0.35492, -0.90918,  0.21779
4081, 1053, -0.38289,  15.58039,  0.39728,  0.4328,  0.5243,  0.20566, -0.96496,  0.16296
4082, 1056, -0.38564,  15.59527,  0.53283,  0.4473,  0.5238,  0.20307, -0.97383, -0.10201
4083, 1058, -0.45311,  15.53953,  0.63485,  0.4572,  0.5161,  0.33263, -0.85945, -0.38821
4084, 1055, -0.36837,  15.56406,  0.63017,  0.4608,  0.5245,  0.20439, -0.91078, -0.35875
4085, 1020, -0.35845,  15.52932,  0.71412,  0.4775,  0.5212,  0.18763, -0.83709, -0.51387
4086, 1020, -0.35845,  15.52932,  0.71412,  0.4775,  0.5212,  0.18763, -0.83709, -0.51387
4087, 1026, -0.44744,  15.4974,  0.71164,  0.4679,  0.5119,  0.44292, -0.76923, -0.46055
4088, 1058, -0.45311,  15.53953,  0.63485,  0.4572,  0.5161,  0.33263, -0.85945, -0.38821
4089, 1059, -0.47792,  15.55925,  0.54033,  0.4456,  0.5158,  0.35236, -0.92616, -0.13438
4090, 1056, -0.38564,  15.59527,  0.53283,  0.4473,  0.5238,  0.20307, -0.97383, -0.10201
4091, 1055, -0.36837,  15.56406,  0.63017,  0.4608,  0.5245,  0.20439, -0.91078, -0.35875
4092, 1056, -0.38564,  15.59527,  0.53283,  0.4473,  0.5238,  0.20307, -0.97383, -0.10201
4093, 1059, -0.47792,  15.55925,  0.54033,  0.4456,  0.5158,  0.35236, -0.92616, -0.13438
4094, 1057, -0.50104,  15.54767,  0.38972,  0.4308,  0.5167,  0.35492, -0.90918,  0.21779
4095, 1055, -0.36837,  15.56406,  0.63017,  0.4608,  0.5245,  0.20439, -0.91078, -0.35875
4096, 1058, -0.45311,  15.53953,  0.63485,  0.4572,  0.5161,  0.33263, -0.85945, -0.38821
4097, 1059, -0.47792,  15.55925,  0.54033,  0.4456,  0.5158,  0.35236, -0.92616, -0.13438
4098, 1060, -0.57671,  15.49145,  0.38699,  0.4306,  0.511,  0.39845, -0.91696,  0.02074
4099, 1057, -0.50104,  15.54767,  0.38972,  0.4308,  0.5167,  0.35492, -0.90918,  0.21779
4100, 1059, -0.47792,  15.55925,  0.54033,  0.4456,  0.5158,  0.35236, -0.92616, -0.13438
4101, 1058, -0.45311,  15.53953,  0.63485,  0.4572,  0.5161,  0.33263, -0.85945, -0.38821
4102, 1026, -0.44744,  15.4974,  0.71164,  0.4679,  0.5119,  0.44292, -0.76923, -0.46055
4103, 1061, -0.49369,  15.51039,  0.64119,  0.4562,  0.5107,  0.55404, -0.70378, -0.44467
4104, 1059, -0.47792,  15.55925,  0.54033,  0.4456,  0.5158,  0.35236, -0.92616, -0.13438
4105, 1058, -0.45311,  15.53953,  0.63485,  0.4572,  0.5161,  0.33263, -0.85945, -0.38821
4106, 1061, -0.49369,  15.51039,  0.64119,  0.4562,  0.5107,  0.55404, -0.70378, -0.44467
4107, 1061, -0.49369,  15.51039,  0.64119,  0.4562,  0.5107,  0.55404, -0.70378, -0.44467
4108, 1026, -0.44744,  15.4974,  0.71164,  0.4679,  0.5119,  0.44292, -0.76923, -0.46055
4109, 1015, -0.47965,  15.46838,  0.71691,  0.4659,  0.5069,  0.37966, -0.83035, -0.40789
4110, 1059, -0.47792,  15.55925,  0.54033,  0.4456,  0.5158,  0.35236, -0.92616, -0.13438
4111, 1062, -0.53492,  15.54732,  0.54453,  0.4449,  0.5106,  0.57274, -0.79878, -0.18419
4112, 1060, -0.57671,  15.49145,  0.38699,  0.4306,  0.511,  0.39845, -0.91696,  0.02074
