VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
9394, 2120,  1.85114,  5.80687,  0.22278,  0.2283,  0.924, -0.97524, -0.18223,  0.04302
9395, 2119,  1.71825,  6.77052,  0.34553,  0.2283,  0.9398, -0.98168, -0.14191,  0.05892
9396, 2121,  2.08809,  4.78308,  0.06941,  0.2283,  0.9065, -0.97333, -0.19997,  0.02586
9397, 2114,  1.93787,  4.88731, -0.38408,  0.2361,  0.9065, -0.82491, -0.27244,  0.48937
9398, 2099,  2.0902,  4.01363, -0.63939,  0.2361,  0.8919, -0.7828, -0.38391,  0.48447
9399, 2114,  1.93787,  4.88731, -0.38408,  0.2361,  0.9065, -0.82491, -0.27244,  0.48937
9400, 2121,  2.08809,  4.78308,  0.06941,  0.2283,  0.9065, -0.97333, -0.19997,  0.02586
9401, 2120,  1.85114,  5.80687,  0.22278,  0.2283,  0.924, -0.97524, -0.18223,  0.04302
9402, 2099,  2.0902,  4.01363, -0.63939,  0.2361,  0.8919, -0.7828, -0.38391,  0.48447
9403, 2102,  2.27313,  3.94303, -0.15573,  0.2283,  0.8919, -0.94566, -0.30773,  0.00033
9404, 2121,  2.08809,  4.78308,  0.06941,  0.2283,  0.9065, -0.97333, -0.19997,  0.02586
9405, 2122,  1.57258,  6.64665,  0.92914,  0.2161,  0.9398, -0.92869, -0.12797, -0.32762
9406, 2119,  1.71825,  6.77052,  0.34553,  0.2283,  0.9398, -0.98168, -0.14191,  0.05892
9407, 2120,  1.85114,  5.80687,  0.22278,  0.2283,  0.924, -0.97524, -0.18223,  0.04302
9408, 2123,  1.714,  5.67288,  0.90034,  0.2161,  0.924, -0.92517, -0.15536, -0.32534
9409, 2120,  1.85114,  5.80687,  0.22278,  0.2283,  0.924, -0.97524, -0.18223,  0.04302
9410, 2121,  2.08809,  4.78308,  0.06941,  0.2283,  0.9065, -0.97333, -0.19997,  0.02586
9411, 2120,  1.85114,  5.80687,  0.22278,  0.2283,  0.924, -0.97524, -0.18223,  0.04302
9412, 2123,  1.714,  5.67288,  0.90034,  0.2161,  0.924, -0.92517, -0.15536, -0.32534
9413, 2122,  1.57258,  6.64665,  0.92914,  0.2161,  0.9398, -0.92869, -0.12797, -0.32762
9414, 2124,  1.9322,  4.64583,  0.83523,  0.2161,  0.9065, -0.91999, -0.1643, -0.33416
9415, 2121,  2.08809,  4.78308,  0.06941,  0.2283,  0.9065, -0.97333, -0.19997,  0.02586
9416, 2102,  2.27313,  3.94303, -0.15573,  0.2283,  0.8919, -0.94566, -0.30773,  0.00033
9417, 2121,  2.08809,  4.78308,  0.06941,  0.2283,  0.9065, -0.97333, -0.19997,  0.02586
9418, 2124,  1.9322,  4.64583,  0.83523,  0.2161,  0.9065, -0.91999, -0.1643, -0.33416
9419, 2123,  1.714,  5.67288,  0.90034,  0.2161,  0.924, -0.92517, -0.15536, -0.32534
9420, 2119,  1.71825,  6.77052,  0.34553,  0.2283,  0.9398, -0.98168, -0.14191,  0.05892
9421, 2122,  1.57258,  6.64665,  0.92914,  0.2161,  0.9398, -0.92869, -0.12797, -0.32762
9422, 2125,  1.42533,  7.75587,  0.90606,  0.2161,  0.956, -0.91432, -0.23197, -0.31287
9423, 2125,  1.42533,  7.75587,  0.90606,  0.2161,  0.956, -0.91432, -0.23197, -0.31287
9424, 2118,  1.55861,  7.82338,  0.41687,  0.2283,  0.956, -0.9598, -0.24203,  0.06891
9425, 2119,  1.71825,  6.77052,  0.34553,  0.2283,  0.9398, -0.98168, -0.14191,  0.05892
9426, 2126,  1.25896,  6.54777,  1.48263,  0.2036,  0.9398, -0.79105, -0.1281, -0.59168
9427, 2122,  1.57258,  6.64665,  0.92914,  0.2161,  0.9398, -0.92869, -0.12797, -0.32762
9428, 2123,  1.714,  5.67288,  0.90034,  0.2161,  0.924, -0.92517, -0.15536, -0.32534
9429, 2127,  1.15401,  8.70527,  0.75312,  0.21853,  0.956, -0.59125, -0.77153, -0.22088
9430, 2118,  1.55861,  7.82338,  0.41687,  0.2283,  0.956, -0.9598, -0.24203,  0.06891
9431, 2125,  1.42533,  7.75587,  0.90606,  0.2161,  0.956, -0.91432, -0.23197, -0.31287
9432, 2118,  1.55861,  7.82338,  0.41687,  0.2283,  0.956, -0.9598, -0.24203,  0.06891
9433, 2127,  1.15401,  8.70527,  0.75312,  0.21853,  0.956, -0.59125, -0.77153, -0.22088
9434, 2108,  1.134,  8.6873, -0.08857,  0.22856,  0.956, -0.55408, -0.72992,  0.39271
9435, 2063, -0.49747,  8.7604,  0.46436,  0.2147,  0.956,  0.05713, -0.99778,  0.01619
9436, 2108,  1.134,  8.6873, -0.08857,  0.22856,  0.956, -0.55408, -0.72992,  0.39271
9437, 2127,  1.15401,  8.70527,  0.75312,  0.21853,  0.956, -0.59125, -0.77153, -0.22088
9438, 2128,  1.12701,  7.66277,  1.45245,  0.2036,  0.956, -0.69808, -0.27249, -0.65625
9439, 2125,  1.42533,  7.75587,  0.90606,  0.2161,  0.956, -0.91432, -0.23197, -0.31287
9440, 2122,  1.57258,  6.64665,  0.92914,  0.2161,  0.9398, -0.92869, -0.12797, -0.32762
9441, 2127,  1.15401,  8.70527,  0.75312,  0.21853,  0.956, -0.59125, -0.77153, -0.22088
9442, 2125,  1.42533,  7.75587,  0.90606,  0.2161,  0.956, -0.91432, -0.23197, -0.31287
9443, 2128,  1.12701,  7.66277,  1.45245,  0.2036,  0.956, -0.69808, -0.27249, -0.65625
9444, 2122,  1.57258,  6.64665,  0.92914,  0.2161,  0.9398, -0.92869, -0.12797, -0.32762
