VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z, TEXCOORD3.x, TEXCOORD3.y
1499, 7581, -14.17635,  3.70769,  92.8006,  0.95222,  0.18311,  1.50875E-07, -0.814, -0.58087,  0.90724,  0.06318
1500, 7583, -14.17635,  5.88405,  91.63171,  0.95362,  0.14741, -0.00002, -0.12388, -0.9923,  0.89791,  0.06318
1501, 7582, -17.90597,  5.88405,  91.63171,  0.93319,  0.15667,  2.38134E-07, -0.12383, -0.9923,  0.89791,  0.0491
1502, 7567, -17.90597,  7.45126,  92.02283,  0.92133,  0.14613, -0.00002,  0.49715, -0.86766,  0.89181,  0.0491
1503, 7567, -17.90597,  7.45126,  92.02283,  0.92133,  0.14613, -0.00002,  0.49715, -0.86766,  0.89181,  0.0491
1504, 7568, -14.17635,  7.45126,  92.02264,  0.92938,  0.12357, -0.00003,  0.49713, -0.86767,  0.89181,  0.06318
1505, 7583, -14.17635,  5.88405,  91.63171,  0.95362,  0.14741, -0.00002, -0.12388, -0.9923,  0.89791,  0.06318
1506, 7568, -14.17635,  7.45126,  92.02264,  0.92938,  0.12357, -0.00003,  0.49713, -0.86767,  0.89181,  0.06318
1507, 7567, -17.90597,  7.45126,  92.02283,  0.92133,  0.14613, -0.00002,  0.49715, -0.86766,  0.89181,  0.0491
1508, 7566, -17.90597,  8.55594,  93.15137,  0.90896,  0.14669, -0.00001,  0.94235, -0.33462,  0.88585,  0.0491
1509, 7566, -17.90597,  8.55594,  93.15137,  0.90896,  0.14669, -0.00001,  0.94235, -0.33462,  0.88585,  0.0491
1510, 7569, -14.17635,  8.55594,  93.15137,  0.90104,  0.12371, -2.97425E-07,  0.94236, -0.33461,  0.88585,  0.06318
1511, 7568, -14.17635,  7.45126,  92.02264,  0.92938,  0.12357, -0.00003,  0.49713, -0.86767,  0.89181,  0.06318
1512, 7569, -14.17635,  8.55594,  93.15137,  0.90104,  0.12371, -2.97425E-07,  0.94236, -0.33461,  0.88585,  0.06318
1513, 7566, -17.90597,  8.55594,  93.15137,  0.90896,  0.14669, -0.00001,  0.94235, -0.33462,  0.88585,  0.0491
1514, 7570, -17.90609,  8.34238,  95.45917,  0.89413,  0.15868, -6.28854E-07,  0.83868,  0.54462,  0.87709,  0.0491
1515, 7570, -17.90609,  8.34238,  95.45917,  0.89413,  0.15868, -6.28854E-07,  0.83868,  0.54462,  0.87709,  0.0491
1516, 7571, -14.17648,  8.34238,  95.45917,  0.87322,  0.14805, -1.00045E-06,  0.83869,  0.54461,  0.87709,  0.06318
1517, 7569, -14.17635,  8.55594,  93.15137,  0.90104,  0.12371, -2.97425E-07,  0.94236, -0.33461,  0.88585,  0.06318
1518, 7571, -14.17648,  8.34238,  95.45917,  0.87322,  0.14805, -1.00045E-06,  0.83869,  0.54461,  0.87709,  0.06318
1519, 7570, -17.90609,  8.34238,  95.45917,  0.89413,  0.15868, -6.28854E-07,  0.83868,  0.54462,  0.87709,  0.0491
