VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
889, 228,  0.9004,  0.16385, -0.0027,  0.43323,  0.70992, -0.22969,  0.90336, -0.36218
890, 226,  0.8955,  0.03155, -0.1348,  0.43323,  0.81708, -0.05088,  0.58802, -0.80725
891, 227,  0.8684, -0.20495, -0.234,  0.45787,  0.97754,  0.82309, -0.49825, -0.27251
892, 230,  0.8977,  0.01235, -0.1065,  0.48079,  0.81708, -0.2468, -0.52575,  0.81405
893, 229,  0.8341, -0.21145, -0.2021,  0.48079,  0.97754, -0.0809, -0.71406,  0.6954
894, 226,  0.8955,  0.03155, -0.1348,  0.43323,  0.81708, -0.05088,  0.58802, -0.80725
895, 231,  0.9264,  0.02215, -0.1029,  0.45787,  0.81708,  0.95954, -0.21419,  0.18279
896, 227,  0.8684, -0.20495, -0.234,  0.45787,  0.97754,  0.82309, -0.49825, -0.27251
897, 227,  0.8684, -0.20495, -0.234,  0.45787,  0.97754,  0.82309, -0.49825, -0.27251
898, 231,  0.9264,  0.02215, -0.1029,  0.45787,  0.81708,  0.95954, -0.21419,  0.18279
899, 230,  0.8977,  0.01235, -0.1065,  0.48079,  0.81708, -0.2468, -0.52575,  0.81405
900, 231,  0.9264,  0.02215, -0.1029,  0.45787,  0.81708,  0.95954, -0.21419,  0.18279
901, 226,  0.8955,  0.03155, -0.1348,  0.43323,  0.81708, -0.05088,  0.58802, -0.80725
902, 228,  0.9004,  0.16385, -0.0027,  0.43323,  0.70992, -0.22969,  0.90336, -0.36218
903, 232,  0.9072,  0.13905,  0.0001,  0.48079,  0.70992,  0.22408, -0.85116,  0.47468
904, 230,  0.8977,  0.01235, -0.1065,  0.48079,  0.81708, -0.2468, -0.52575,  0.81405
905, 231,  0.9264,  0.02215, -0.1029,  0.45787,  0.81708,  0.95954, -0.21419,  0.18279
906, 233,  0.9225,  0.15345, -0.0008,  0.45787,  0.70992,  0.93519,  0.31234, -0.16691
907, 228,  0.9004,  0.16385, -0.0027,  0.43323,  0.70992, -0.22969,  0.90336, -0.36218
908, 225,  0.7973,  0.12515,  1.0822,  0.43323,  0.0209, -0.63937,  0.47058, -0.60808
909, 228,  0.9004,  0.16385, -0.0027,  0.43323,  0.70992, -0.22969,  0.90336, -0.36218
910, 233,  0.9225,  0.15345, -0.0008,  0.45787,  0.70992,  0.93519,  0.31234, -0.16691
911, 231,  0.9264,  0.02215, -0.1029,  0.45787,  0.81708,  0.95954, -0.21419,  0.18279
912, 231,  0.9264,  0.02215, -0.1029,  0.45787,  0.81708,  0.95954, -0.21419,  0.18279
