VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
1744, 522, -0.4827,  15.18574, -1.29482,  0.3197,  0.7205, -0.21113, -0.97674, -0.03734
1745, 521, -0.60905,  15.09631, -1.41678,  0.3425,  0.7211,  0.28053, -0.90676,  0.31479
1746, 519, -0.53121,  15.15938, -1.56953,  0.3431,  0.7008,  0.7622, -0.64428, -0.0629
1747, 520, -0.48388,  15.22506, -1.55597,  0.3348,  0.6969,  0.08402, -0.89792, -0.43207
1748, 521, -0.60905,  15.09631, -1.41678,  0.3425,  0.7211,  0.28053, -0.90676,  0.31479
1749, 519, -0.53121,  15.15938, -1.56953,  0.3431,  0.7008,  0.7622, -0.64428, -0.0629
1750, 521, -0.60905,  15.09631, -1.41678,  0.3425,  0.7211,  0.28053, -0.90676,  0.31479
1751, 523, -0.66365,  15.05019, -1.49083,  0.3537,  0.7195,  0.16729, -0.9394,  0.29925
1752, 523, -0.66365,  15.05019, -1.49083,  0.3537,  0.7195,  0.16729, -0.9394,  0.29925
1753, 524, -0.61183,  15.08206, -1.58398,  0.3543,  0.7068,  0.58083, -0.80189, -0.14003
1754, 519, -0.53121,  15.15938, -1.56953,  0.3431,  0.7008,  0.7622, -0.64428, -0.0629
1755, 518, -0.50776,  15.2137, -1.71161,  0.3493,  0.6873,  0.53435, -0.64004, -0.55156
1756, 519, -0.53121,  15.15938, -1.56953,  0.3431,  0.7008,  0.7622, -0.64428, -0.0629
1757, 524, -0.61183,  15.08206, -1.58398,  0.3543,  0.7068,  0.58083, -0.80189, -0.14003
1758, 525, -0.78301,  15.02423, -1.68938,  0.3775,  0.7118, -0.51904, -0.60188, -0.60691
1759, 524, -0.61183,  15.08206, -1.58398,  0.3543,  0.7068,  0.58083, -0.80189, -0.14003
1760, 523, -0.66365,  15.05019, -1.49083,  0.3537,  0.7195,  0.16729, -0.9394,  0.29925
1761, 524, -0.61183,  15.08206, -1.58398,  0.3543,  0.7068,  0.58083, -0.80189, -0.14003
1762, 526, -0.60786,  15.12614, -1.6622,  0.3584,  0.6971,  0.37192, -0.59174, -0.71521
1763, 518, -0.50776,  15.2137, -1.71161,  0.3493,  0.6873,  0.53435, -0.64004, -0.55156
1764, 524, -0.61183,  15.08206, -1.58398,  0.3543,  0.7068,  0.58083, -0.80189, -0.14003
1765, 525, -0.78301,  15.02423, -1.68938,  0.3775,  0.7118, -0.51904, -0.60188, -0.60691
1766, 526, -0.60786,  15.12614, -1.6622,  0.3584,  0.6971,  0.37192, -0.59174, -0.71521
1767, 518, -0.50776,  15.2137, -1.71161,  0.3493,  0.6873,  0.53435, -0.64004, -0.55156
1768, 526, -0.60786,  15.12614, -1.6622,  0.3584,  0.6971,  0.37192, -0.59174, -0.71521
1769, 527, -0.70899,  15.16278, -1.67921,  0.3747,  0.6945, -0.44643, -0.0341, -0.89418
1770, 526, -0.60786,  15.12614, -1.6622,  0.3584,  0.6971,  0.37192, -0.59174, -0.71521
1771, 525, -0.78301,  15.02423, -1.68938,  0.3775,  0.7118, -0.51904, -0.60188, -0.60691
1772, 527, -0.70899,  15.16278, -1.67921,  0.3747,  0.6945, -0.44643, -0.0341, -0.89418
1773, 527, -0.70899,  15.16278, -1.67921,  0.3747,  0.6945, -0.44643, -0.0341, -0.89418
1774, 517, -0.67463,  15.24482, -1.72424,  0.3711,  0.6837, -0.27406, -0.63206, -0.72462
1775, 518, -0.50776,  15.2137, -1.71161,  0.3493,  0.6873,  0.53435, -0.64004, -0.55156
1776, 517, -0.67463,  15.24482, -1.72424,  0.3711,  0.6837, -0.27406, -0.63206, -0.72462
1777, 527, -0.70899,  15.16278, -1.67921,  0.3747,  0.6945, -0.44643, -0.0341, -0.89418
1778, 528, -0.77693,  15.1376, -1.59856,  0.387,  0.6986, -0.97997, -0.08045, -0.18219
1779, 527, -0.70899,  15.16278, -1.67921,  0.3747,  0.6945, -0.44643, -0.0341, -0.89418
1780, 525, -0.78301,  15.02423, -1.68938,  0.3775,  0.7118, -0.51904, -0.60188, -0.60691
1781, 528, -0.77693,  15.1376, -1.59856,  0.387,  0.6986, -0.97997, -0.08045, -0.18219
1782, 528, -0.77693,  15.1376, -1.59856,  0.387,  0.6986, -0.97997, -0.08045, -0.18219
1783, 516, -0.80283,  15.21359, -1.5952,  0.3918,  0.6889, -0.73159, -0.58173, -0.35548
1784, 517, -0.67463,  15.24482, -1.72424,  0.3711,  0.6837, -0.27406, -0.63206, -0.72462
1785, 525, -0.78301,  15.02423, -1.68938,  0.3775,  0.7118, -0.51904, -0.60188, -0.60691
1786, 529, -0.75199,  15.0712, -1.49915,  0.3968,  0.7086, -0.67486, -0.63824,  0.37043
1787, 528, -0.77693,  15.1376, -1.59856,  0.387,  0.6986, -0.97997, -0.08045, -0.18219
1788, 529, -0.75199,  15.0712, -1.49915,  0.3968,  0.7086, -0.67486, -0.63824,  0.37043
1789, 525, -0.78301,  15.02423, -1.68938,  0.3775,  0.7118, -0.51904, -0.60188, -0.60691
1790, 530, -0.66365,  15.05019, -1.49083,  0.3996,  0.7197,  0.16729, -0.9394,  0.29925
1791, 529, -0.75199,  15.0712, -1.49915,  0.3968,  0.7086, -0.67486, -0.63824,  0.37043
1792, 530, -0.66365,  15.05019, -1.49083,  0.3996,  0.7197,  0.16729, -0.9394,  0.29925
